ISBN	Checkout Date	Return Date
9783161484100	3/4/2018	4/5/2018
9783161482322	1/2/2018	1/3/2018
9783161484102	21/12/2017	16/1/2018
9783161480982	14/12/2017	13/1/2018
9783161484101	2/11/2017	17/12/2017
9783161480982	1/9/2017	13/10/2017
9783161484101	1/9/2017	11/10/2017
9783161484101	29/7/2017	26/8/2017
9783161483682	11/6/2017	1/7/2017
9783161480982	1/6/2017	2/7/2017
9783161483682	23/4/2017	24/5/2017
9783161484105	7/4/2017	14/4/2017
9783161484100	16/2/2017	4/3/2017
9783161484105	17/1/2017	10/2/2017
9783161484199	3/12/2016	29/12/2016
9783161484102	24/11/2016	5/12/2016
9783161482322	13/9/2016	12/10/2016
